epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,1264.0,1268.0,4972.0,4976.0,0.7707661390304565,0.8729769587516785,0.7639967799186707,0.5190439820289612,0.01,0.5291259288787842,0.765408992767334,0.7969250679016113,0.7974358797073364,0.7637096643447876,605.0,605.0,611.0,611.0,0.5024670958518982,0.502467155456543,0.5024670362472534,4.407324314117432,0.004934210330247879,0.5024670958518982,0.5024670958518982,0.5024670958518982,0.5024670958518982
1,614.0,613.0,4330.0,4329.0,0.8757839202880859,0.9408507943153381,0.8756380081176758,0.31093868613243103,0.01,0.7514506578445435,0.8756579160690308,0.8759611248970032,0.8757839202880859,0.8757258057594299,605.0,605.0,611.0,611.0,0.5024670958518982,0.502467155456543,0.5024670362472534,5.064455509185791,0.004934210330247879,0.5024670958518982,0.5024670958518982,0.5024670958518982,0.5024670958518982
2,563.0,571.0,4372.0,4380.0,0.886506199836731,0.9512391686439514,0.8850824236869812,0.28184470534324646,0.01,0.7701278924942017,0.8857455253601074,0.8846697807312012,0.8861015439033508,0.8841935396194458,605.0,605.0,611.0,611.0,0.5024670958518982,0.512177586555481,0.5024670362472534,4.569094181060791,0.004934210330247879,0.5024670958518982,0.5024670958518982,0.5024670958518982,0.5024670958518982
3,491.0,498.0,4445.0,4452.0,0.9006676077842712,0.9580024480819702,0.8999321460723877,0.2608306109905243,0.01,0.7997703552246094,0.9004451632499695,0.8993939161300659,0.9006676077842712,0.8991398215293884,602.0,603.0,613.0,614.0,0.5041118264198303,0.5309585332870483,0.5048076510429382,3.3301734924316406,0.009040828794240952,0.5043506026268005,0.5045192837715149,0.5049341917037964,0.5041118264198303
4,495.0,487.0,4456.0,4448.0,0.9022860527038574,0.9636123776435852,0.9004243016242981,0.24372321367263794,0.01,0.8012005686759949,0.9000806212425232,0.9013171195983887,0.8998584151268005,0.9013575315475464,101.0,94.0,1122.0,1115.0,0.9194079041481018,0.9750358462333679,0.919394850730896,0.201559916138649,0.8397020101547241,0.9178378582000732,0.9222497940063477,0.9169408082962036,0.9226973652839661
5,459.0,450.0,4493.0,4484.0,0.9081529378890991,0.9677204489707947,0.9082463383674622,0.22873684763908386,0.01,0.8168226480484009,0.9077767729759216,0.9087961316108704,0.907141387462616,0.9092742204666138,527.0,527.0,689.0,689.0,0.5666118264198303,0.7529306411743164,0.5666117668151855,1.3281341791152954,0.13322368264198303,0.5666118264198303,0.5666118264198303,0.5666118264198303,0.5666118264198303
6,463.0,456.0,4487.0,4480.0,0.9069390892982483,0.9700742959976196,0.9068305492401123,0.2210334837436676,0.01,0.8138688802719116,0.9063966870307922,0.9076175093650818,0.9063321948051453,0.9076075553894043,589.0,589.0,627.0,627.0,0.515625,0.6087044477462769,0.5156249403953552,2.7847235202789307,0.03125,0.515625,0.515625,0.515625,0.515625
7,446.0,446.0,4497.0,4497.0,0.909973680973053,0.9712162613868713,0.9091557860374451,0.21636104583740234,0.01,0.8184037208557129,0.9092491865158081,0.9097713828086853,0.9097713828086853,0.909166693687439,567.0,567.0,649.0,649.0,0.5337170958518982,0.6294959783554077,0.5337170362472534,2.393597364425659,0.06743421405553818,0.5337170958518982,0.5337170958518982,0.5337170958518982,0.5337170958518982
8,385.0,384.0,4559.0,4558.0,0.9225167036056519,0.9771886467933655,0.9222190380096436,0.1933816820383072,0.0009999999,0.844546914100647,0.9222545027732849,0.9222986698150635,0.9221121072769165,0.922352135181427,91.0,91.0,1125.0,1125.0,0.9251644611358643,0.9753987193107605,0.9251644015312195,0.199840247631073,0.8503289222717285,0.9251644611358643,0.9251644611358643,0.9251644611358643,0.9251644611358643
9,322.0,317.0,4626.0,4621.0,0.9352619647979736,0.9826884865760803,0.9353107213973999,0.16796311736106873,0.0009999999,0.8707547783851624,0.9349787831306458,0.9358039498329163,0.9348573684692383,0.9358602166175842,66.0,65.0,1151.0,1150.0,0.9457237124443054,0.9857023358345032,0.9461151957511902,0.1570272594690323,0.8922813534736633,0.9457734823226929,0.9465020298957825,0.9457237124443054,0.9465460777282715
10,322.0,323.0,4620.0,4621.0,0.9346550703048706,0.9843905568122864,0.9345325827598572,0.16015657782554626,0.0009999999,0.8690755367279053,0.9346315264701843,0.9346683025360107,0.9348573684692383,0.9344220757484436,306.0,311.0,905.0,910.0,0.7467105388641357,0.8543423414230347,0.7469584345817566,0.5148058533668518,0.49267709255218506,0.7470865845680237,0.7452907562255859,0.7483552694320679,0.7442434430122375
11,293.0,292.0,4651.0,4650.0,0.941331148147583,0.9858760833740234,0.9410470128059387,0.15266604721546173,0.0009999999,0.8820971846580505,0.9409264326095581,0.9409146308898926,0.94072425365448,0.9411290287971497,61.0,60.0,1156.0,1155.0,0.9506579041481018,0.9861748814582825,0.9502401947975159,0.14536182582378387,0.9005058407783508,0.9498603940010071,0.9506173133850098,0.9498355388641357,0.9506579041481018
12,287.0,276.0,4667.0,4656.0,0.9433542490005493,0.9863065481185913,0.9424871802330017,0.1493346095085144,0.0009999999,0.8851901888847351,0.9416611194610596,0.9440389275550842,0.9419381022453308,0.9436693787574768,99.0,98.0,1118.0,1117.0,0.9194079041481018,0.9750444889068604,0.9189509153366089,0.2038937360048294,0.8380034565925598,0.9186851978302002,0.9193415641784668,0.9185855388641357,0.9194079041481018
13,260.0,250.0,4693.0,4683.0,0.9482095837593079,0.9884462356567383,0.9482724070549011,0.1377122551202774,0.0009999999,0.8967733979225159,0.9475739598274231,0.949320912361145,0.9474003911018372,0.9493682980537415,268.0,268.0,948.0,948.0,0.7787829041481018,0.8861240148544312,0.7798966765403748,0.44609400629997253,0.5592716336250305,0.7790477275848389,0.7796052694320679,0.7796052694320679,0.7796052694320679
14,266.0,260.0,4683.0,4677.0,0.9471980333328247,0.9872942566871643,0.9469271898269653,0.14311188459396362,0.0009999999,0.893984317779541,0.9464976787567139,0.9473364353179932,0.9461865425109863,0.9475806355476379,69.0,68.0,1148.0,1147.0,0.9440789222717285,0.9827100038528442,0.9436350464820862,0.16666223108768463,0.8873463869094849,0.9433313608169556,0.9440329074859619,0.9432565569877625,0.9440789222717285
15,257.0,251.0,4692.0,4686.0,0.9480072855949402,0.9879467487335205,0.9483157396316528,0.1390160769224167,9.999999e-05,0.8967161178588867,0.9478088617324829,0.9491593837738037,0.9480072855949402,0.9489381909370422,65.0,63.0,1153.0,1151.0,0.9473684430122375,0.9857019186019897,0.9470414519309998,0.1487092524766922,0.8947657346725464,0.9472172260284424,0.9481054544448853,0.9465460777282715,0.9481908082962036
16,235.0,234.0,4709.0,4708.0,0.9524580240249634,0.9894086718559265,0.9524871706962585,0.131315678358078,9.999999e-05,0.9050225019454956,0.9524377584457397,0.9526507258415222,0.9524580240249634,0.9525941014289856,62.0,62.0,1154.0,1154.0,0.9490131735801697,0.9859947562217712,0.9490131735801697,0.14767378568649292,0.8980262875556946,0.9490131735801697,0.9490131735801697,0.9490131735801697,0.9490131735801697
