epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,461.0,461.0,5651.0,5651.0,0.9199596643447876,0.9738597869873047,0.9150115847587585,0.22682416439056396,0.01,0.8305402398109436,0.9151594638824463,0.924574613571167,0.924574613571167,0.9153226017951965,61.0,59.0,1189.0,1187.0,0.9511218070983887,0.9840764403343201,0.9517185688018799,0.17206420004367828,0.9038798213005066,0.9515556693077087,0.9526484608650208,0.9511218070983887,0.9527243375778198
1,168.0,164.0,4776.0,4772.0,0.9659919142723083,0.9936299920082092,0.9665173888206482,0.0976484939455986,0.01,0.9331570267677307,0.9662463665008545,0.9667747020721436,0.9659919142723083,0.9669354557991028,41.0,36.0,1212.0,1207.0,0.9679487347602844,0.9938815832138062,0.9690934419631958,0.09723274409770966,0.938360333442688,0.9673174619674683,0.9710378050804138,0.9671474099159241,0.9711538553237915
2,126.0,127.0,4813.0,4814.0,0.9748988151550293,0.9960730671882629,0.9745119214057922,0.07518474757671356,0.01,0.9490591883659363,0.9746294617652893,0.9742966890335083,0.9744939208030701,0.9743951559066772,36.0,37.0,1211.0,1212.0,0.9703525900840759,0.9928720593452454,0.970759391784668,0.09173920005559921,0.9415185451507568,0.9711538553237915,0.9703763127326965,0.9711538553237915,0.9703525900840759
3,109.0,113.0,4827.0,4831.0,0.9775303602218628,0.9974291324615479,0.9776034355163574,0.06309293955564499,0.01,0.955316960811615,0.9781306385993958,0.9771440029144287,0.9779351949691772,0.9772177338600159,51.0,53.0,1195.0,1197.0,0.9583333134651184,0.9909496307373047,0.9584071040153503,0.13066671788692474,0.9167112708091736,0.9590296745300293,0.9575999975204468,0.9591346383094788,0.9575320482254028
4,95.0,93.0,4847.0,4845.0,0.9813765287399292,0.9982855916023254,0.9810124635696411,0.05016716569662094,0.01,0.9621672630310059,0.9809863567352295,0.9811664819717407,0.9807692170143127,0.981249988079071,53.0,53.0,1195.0,1195.0,0.9583333134651184,0.9913783073425293,0.9575425982475281,0.11147268861532211,0.9150813221931458,0.9575242400169373,0.9575320482254028,0.9575320482254028,0.9575320482254028
5,70.0,73.0,4867.0,4870.0,0.9848178029060364,0.9993084073066711,0.9852524995803833,0.034146733582019806,0.01,0.9705659747123718,0.9856105446815491,0.9852316379547119,0.9858299493789673,0.9849461913108826,48.0,49.0,1199.0,1200.0,0.9599359035491943,0.9840925931930542,0.9611801505088806,0.15607428550720215,0.9223323464393616,0.9615079164505005,0.9607686400413513,0.9615384340286255,0.9607371687889099
6,62.0,62.0,4878.0,4878.0,0.9878542423248291,0.9984219074249268,0.9861589074134827,0.0345320999622345,0.0009999999,0.9723300337791443,0.9861676692962646,0.9874494075775146,0.9874494075775146,0.9861558675765991,40.0,41.0,1207.0,1208.0,0.9679487347602844,0.9903987646102905,0.9675912261009216,0.12068048119544983,0.9351059198379517,0.9678711295127869,0.9671737551689148,0.9679487347602844,0.9671474099159241
7,26.0,27.0,4913.0,4914.0,0.994534432888031,0.999661922454834,0.9943128824234009,0.016536138951778412,0.0009999999,0.9886564016342163,0.9944518208503723,0.994535505771637,0.9947368502616882,0.9942203760147095,45.0,46.0,1202.0,1203.0,0.9647436141967773,0.9887919425964355,0.9636092782020569,0.12272949516773224,0.927115797996521,0.9638373255729675,0.9631705284118652,0.963942289352417,0.9631410241127014
