folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
12,ResNet50V2,128,0.3,0.3,32,3,0.9746244549751282,0.9744006395339966,0.973609447479248,0.9744318127632141,0.9739885926246643,0.973773717880249,0.9481372833251953,0.9970630407333374,4796.0,4800.0,126.0,130.0,168.0380940437317,0.9727563858032227,0.9696727991104126,0.973557710647583,0.9695512652397156,0.9718301296234131,0.9730858206748962,0.9431971907615662,0.994731068611145,1215.0,1210.0,38.0,33.0,2.0910987854003906
13,ResNet50V2,128,0.3,0.3,32,5,0.9815901517868042,0.9807847738265991,0.9809831976890564,0.9808467626571655,0.9809452295303345,0.9811269640922546,0.9619704484939575,0.9982190728187561,4849.0,4848.0,95.0,94.0,187.54231429100037,0.9769737124443054,0.9769737124443054,0.9769737124443054,0.9769737124443054,0.9769737124443054,0.9769737124443054,0.9539473652839661,0.9895127415657043,1188.0,1188.0,28.0,28.0,2.017616033554077
14,ResNet50V2,128,0.3,0.3,32,3,0.9773818850517273,0.9753803014755249,0.9753803014755249,0.9741241931915283,0.9749187231063843,0.9755731821060181,0.9498765468597412,0.9964969158172607,4873.0,4873.0,123.0,123.0,155.03376054763794,0.9679054021835327,0.9670885801315308,0.9679054021835327,0.9670608043670654,0.9675025939941406,0.9678781628608704,0.934978187084198,0.9938249588012695,1146.0,1145.0,39.0,38.0,2.773470163345337
15,ResNet50V2,128,0.3,0.3,32,3,0.9803439974784851,0.981155276298523,0.980753481388092,0.9812091588973999,0.9809813499450684,0.9809173345565796,0.962082028388977,0.9985821843147278,4790.0,4792.0,92.0,94.0,162.5118727684021,0.9664062261581421,0.9663800001144409,0.965624988079071,0.9664062261581421,0.9659099578857422,0.9658616781234741,0.9320605993270874,0.9917694926261902,1236.0,1237.0,43.0,44.0,2.5835683345794678
16,ResNet50V2,128,0.3,0.3,32,4,0.9889090657234192,0.9889001250267029,0.9881024360656738,0.9889047741889954,0.9884913563728333,0.9881759285926819,0.9770632982254028,0.9989432692527771,4900.0,4904.0,55.0,59.0,182.11821055412292,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9375,0.9877473711967468,1178.0,1178.0,38.0,38.0,2.4981791973114014
17,ResNet50V2,128,0.3,0.3,32,2,0.9745106101036072,0.9746420979499817,0.9718596935272217,0.9748376607894897,0.9733342528343201,0.9722656607627869,0.9469479918479919,0.9967881441116333,4766.0,4780.0,124.0,138.0,148.96378231048584,0.965624988079071,0.9655981063842773,0.96484375,0.965624988079071,0.9651501774787903,0.9650194048881531,0.9304859042167664,0.9927465915679932,1235.0,1236.0,44.0,45.0,2.163454294204712
18,ResNet50V2,128,0.3,0.3,32,5,0.98574298620224,0.98591548204422,0.9839357137680054,0.9859775900840759,0.984943687915802,0.9841009974479675,0.9700175523757935,0.9987596273422241,4900.0,4910.0,70.0,80.0,199.42914247512817,0.9704391956329346,0.972057580947876,0.9695945978164673,0.9721283912658691,0.9704054594039917,0.9704903364181519,0.9417349100112915,0.9905193448066711,1148.0,1151.0,33.0,36.0,2.000514268875122
19,ResNet50V2,128,0.3,0.3,32,2,0.9678128957748413,0.9679551124572754,0.9662135243415833,0.9672771096229553,0.9663332104682922,0.9657084345817566,0.9328977465629578,0.9946446418762207,4833.0,4842.0,160.0,169.0,146.38597583770752,0.974662184715271,0.9746192693710327,0.9729729890823364,0.974662184715271,0.9737505316734314,0.9731264710426331,0.9476574063301086,0.9926137328147888,1152.0,1154.0,30.0,32.0,1.9944276809692383
20,ResNet50V2,128,0.3,0.3,32,1,0.9640287756919861,0.9647718071937561,0.9632294178009033,0.9646364450454712,0.9638239145278931,0.9631956219673157,0.9278085231781006,0.9938067197799683,4820.0,4828.0,176.0,184.0,128.55403923988342,0.9679054021835327,0.9654591679573059,0.9679054021835327,0.9653716087341309,0.9666699767112732,0.9679005742073059,0.9333368539810181,0.9847459197044373,1146.0,1143.0,41.0,38.0,1.934669017791748
21,ResNet50V2,128,0.3,0.3,32,2,0.9725285768508911,0.9727017283439636,0.9717264771461487,0.9727563858032227,0.9722416996955872,0.9718809723854065,0.94461590051651,0.9956212639808655,4846.0,4851.0,136.0,141.0,150.16509175300598,0.9670608043670654,0.9654300212860107,0.9670608043670654,0.9653716087341309,0.9662421941757202,0.9670335650444031,0.9324571490287781,0.9926626682281494,1145.0,1143.0,41.0,39.0,2.5390090942382812
22,ResNet50V2,128,0.3,0.3,32,5,0.988351047039032,0.9883487224578857,0.9881502389907837,0.9883813858032227,0.9882107377052307,0.9880839586257935,0.9764631986618042,0.999333381652832,4920.0,4921.0,58.0,59.0,203.78679037094116,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.962837815284729,0.993964433670044,1162.0,1162.0,22.0,22.0,1.9934701919555664
